driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
D001,Airport,Fulltime,8,67.8,3.54,Morning,1
D002,Central,Fulltime,4,42.4,3.94,Evening,1
D003,Airport,Fulltime,11,96.5,5.0,Evening,1
D004,Airport,Parttime,13,88.9,4.75,Morning,1
D005,North,Fulltime,3,69.7,4.14,Morning,1
D006,Central,Fulltime,8,78.8,4.38,Flexible,1
D007,North,Fulltime,4,92.6,3.94,Evening,1
D008,South,Fulltime,9,84.1,3.88,Morning,1
D009,Airport,Fulltime,15,63.4,3.8,Night,1
D010,West,Fulltime,8,70.0,3.95,Evening,1
D011,East,Fulltime,3,89.4,3.85,Night,1
D012,South,Fulltime,10,95.1,4.48,Night,1
D013,West,Fulltime,11,80.8,4.31,Morning,1
D014,North,Fulltime,6,76.1,4.7,Evening,1
D015,East,Fulltime,11,85.1,4.34,Morning,1
D016,Airport,Fulltime,6,81.9,4.31,Evening,1
D017,East,Parttime,1,75.2,4.34,Morning,1
D018,West,Parttime,14,73.8,4.57,Flexible,1
D019,Riverside,Fulltime,11,73.4,3.82,Flexible,0
D020,East,Fulltime,6,75.2,4.61,Evening,1
D021,South,Fulltime,7,91.8,4.24,Evening,1
D022,East,Fulltime,9,68.7,3.36,Flexible,1
D023,East,Fulltime,11,79.1,4.16,Night,1
D024,Riverside,Parttime,8,71.4,3.35,Evening,1
D025,North,Fulltime,1,86.4,3.72,Morning,1
D026,North,Parttime,4,84.9,3.15,Night,0
D027,Airport,Parttime,12,74.3,3.7,Night,1
D028,North,Fulltime,11,83.0,4.07,Flexible,1
D029,East,Contract,2,70.2,3.84,Flexible,1
D030,Central,Fulltime,7,74.0,4.56,Night,1
D031,North,Fulltime,10,91.5,4.03,Flexible,1
D032,East,Parttime,6,81.5,3.99,Evening,1
D033,South,Parttime,9,59.8,4.05,Night,1
D034,West,Fulltime,11,71.3,4.27,Morning,1
D035,Ctr,Fulltime,5,66.2,3.71,Flexible,0
D036,Airport,Parttime,9,79.3,4.69,Morning,1
D037,North,Parttime,7,63.9,4.67,Morning,1
D038,South,Fulltime,5,67.4,3.72,Evening,1
D039,Airport,Contract,7,86.1,4.06,Evening,1
D040,Riverside,Fulltime,7,55.6,4.4,Night,1
D041,East,Parttime,3,88.2,3.67,Morning,1
D042,North,Fulltime,9,70.5,3.37,Night,1
D043,North,Fulltime,13,80.3,4.6,Evening,0
D044,Airport,Fulltime,11,79.4,4.05,Night,1
D045,North,Fulltime,2,59.6,4.12,Flexible,1
D046,South,Fulltime,5,82.2,4.06,Morning,1
D047,South,Fulltime,7,64.6,4.7,Morning,1
D048,East,Fulltime,7,76.3,3.45,Flexible,1
D049,Central,Contract,14,41.4,4.0,Morning,1
D050,North,Fulltime,6,87.4,3.9,Evening,1
D051,West,Fulltime,3,75.4,3.58,Evening,1
D052,Riverside,Fulltime,8,71.7,3.39,Morning,1
D053,West,Fulltime,5,83.3,3.8,Morning,1
D054,West,Fulltime,3,80.1,4.32,Morning,1
D055,Central,Fulltime,15,90.5,5.0,Flexible,1
D056,West,Fulltime,12,74.6,4.45,Evening,1
D057,West,Fulltime,6,75.0,4.25,Morning,1
D058,Airport,Fulltime,9,82.7,4.27,Flexible,1
D059,North,Fulltime,7,82.8,4.22,Night,1
D060,South,Fulltime,4,76.0,4.49,Morning,1
D061,Riverside,Contract,8,85.9,4.38,Evening,1
D062,South,Fulltime,10,62.4,4.48,Flexible,1
D063,North,Parttime,12,85.7,4.03,Morning,1
D064,South,Parttime,14,88.9,4.18,Morning,1
D065,Riverside,Fulltime,14,59.6,4.02,Morning,1
D066,South,Parttime,1,83.3,4.13,Flexible,1
D067,West,Fulltime,11,77.0,4.84,Morning,1
D068,Central,Parttime,10,83.9,3.99,Flexible,1
D069,North,Parttime,2,61.5,5.0,Evening,0
D070,South,Fulltime,9,67.0,5.0,Flexible,1
D071,Central,Parttime,12,56.7,4.49,Evening,1
D072,South,Fulltime,10,75.8,4.47,Evening,1
D073,East,Fulltime,11,76.9,4.58,Evening,1
D074,Central,Fulltime,12,79.5,4.61,Evening,1
D075,Airport,Fulltime,13,99.0,3.62,Evening,1
D076,East,Fulltime,15,61.6,3.88,Morning,1
D077,South,Fulltime,8,64.9,3.68,Morning,1
D078,North,Fulltime,11,73.7,4.28,Morning,1
D079,South,Parttime,1,75.2,4.48,Night,1
D080,Central,Fulltime,11,75.2,4.35,Flexible,1
D081,Riverside,Parttime,1,82.0,4.78,Flexible,1
D082,West,Parttime,14,74.1,4.63,Evening,1
D083,North,Fulltime,12,80.8,4.16,Flexible,1
D084,Central,Parttime,2,47.2,3.99,Evening,1
D085,North,Parttime,9,84.5,4.11,Evening,0
D086,North,Parttime,14,70.6,5.0,Flexible,1
D087,North,Contract,13,73.3,4.43,Night,1
D088,Riverside,Contract,4,84.3,4.17,Morning,1
D089,Ctr,Fulltime,2,71.1,4.57,Night,1
D090,North,Fulltime,8,58.0,3.78,Morning,1
D091,Riverside,Fulltime,12,68.0,4.46,Night,1
D092,East,Fulltime,15,88.2,4.24,Evening,1
D093,South,Parttime,12,75.2,4.43,Flexible,1
D094,Ctr,Parttime,6,60.8,4.48,Night,0
D095,West,Fulltime,12,99.0,3.15,Night,1
D096,Ctr,Fulltime,4,56.4,4.03,Morning,1
D097,West,Fulltime,2,79.1,4.48,Flexible,1
D098,South,Contract,3,70.9,4.29,Morning,1
D099,North,Contract,10,82.7,3.48,Night,1
D100,Central,Fulltime,4,62.0,4.31,Flexible,1
D101,West,Fulltime,8,75.6,4.48,Morning,1
D102,East,Parttime,10,67.6,4.62,Morning,1
D103,Central,Fulltime,15,72.5,4.4,Morning,1
D104,West,Fulltime,15,87.7,3.45,Morning,1
D105,Riverside,Contract,2,82.0,3.71,Morning,1
D106,Central,Contract,12,71.9,3.66,Morning,1
D107,Riverside,Fulltime,14,57.0,4.82,Flexible,1
D108,South,Fulltime,10,70.6,4.33,Morning,1
D109,Central,Contract,14,68.1,3.94,Morning,1
D110,Riverside,Contract,7,40.6,4.1,Morning,1
D111,Airport,Fulltime,15,79.2,4.12,Night,1
D112,East,Fulltime,14,79.1,4.51,Morning,1
D113,Airport,Parttime,8,70.5,4.47,Evening,1
D114,Ctr,Fulltime,2,57.4,4.07,Evening,1
D115,South,Fulltime,11,69.5,4.77,Morning,1
D116,Central,Fulltime,4,58.2,4.19,Morning,1
D117,North,Fulltime,1,71.1,3.93,Flexible,1
D118,North,Fulltime,1,80.6,4.88,Night,1
D119,South,Fulltime,5,56.0,3.55,Flexible,1
D120,North,Parttime,3,76.9,3.72,Morning,1
D121,Riverside,Contract,3,75.2,4.97,Morning,1
D122,South,Fulltime,2,63.5,4.29,Morning,1
D123,Riverside,Fulltime,3,93.5,4.12,Flexible,1
D124,North,Fulltime,4,70.6,3.78,Night,1
D125,North,Parttime,15,90.5,4.07,Morning,1
D126,East,Parttime,9,69.7,4.1,Evening,1
D127,Central,Fulltime,10,61.5,4.19,Morning,1
D128,Central,Contract,13,84.7,3.32,Morning,1
D129,North,Fulltime,10,64.9,4.18,Night,1
D130,West,Fulltime,8,71.2,3.64,Evening,1
D131,South,Fulltime,9,86.7,4.26,Night,0
D132,South,Contract,8,77.6,4.2,Evening,1
D133,South,Contract,12,88.2,3.99,Flexible,1
D134,South,Parttime,4,61.5,3.59,Flexible,1
D135,Riverside,Parttime,2,70.3,4.4,Flexible,1
D136,Airport,Fulltime,4,89.5,3.99,Evening,1
D137,North,Contract,10,65.6,4.4,Flexible,1
D138,Ctr,Parttime,11,69.2,4.61,Evening,1
D139,South,Fulltime,10,71.4,4.99,Evening,1
D140,North,Fulltime,7,80.1,3.92,Morning,1
D141,North,Parttime,14,71.4,3.44,Flexible,1
D142,Airport,Fulltime,12,98.7,4.23,Night,1
D143,Central,Fulltime,6,68.5,4.14,Night,1
D144,West,Fulltime,6,85.0,3.83,Morning,1
D145,North,Fulltime,11,68.4,4.09,Morning,1
D146,Airport,Contract,1,75.2,4.36,Morning,1
D147,West,Fulltime,13,66.4,3.8,Night,1
D148,Central,Parttime,10,53.1,4.4,Flexible,1
D149,Airport,Fulltime,7,81.5,4.55,Night,1
D150,East,Fulltime,12,88.1,4.08,Night,1
D151,East,Fulltime,2,71.3,4.69,Flexible,1
D152,North,Parttime,5,75.2,4.06,Flexible,1
D153,East,Fulltime,8,82.3,3.83,Evening,1
D154,Airport,Fulltime,4,67.0,4.35,Evening,1
D155,Central,Parttime,6,69.5,3.98,Morning,1
D156,South,Fulltime,14,84.5,3.62,Evening,1
D157,South,Fulltime,13,74.1,4.42,Evening,1
D158,Central,Fulltime,5,81.4,4.45,Morning,1
D159,Airport,Fulltime,11,68.6,4.18,Morning,1
D160,East,Fulltime,12,72.8,4.48,Morning,1
D161,North,Fulltime,1,84.7,4.02,Evening,1
D162,Riverside,Contract,11,69.0,4.62,Night,1
D163,Riverside,Fulltime,11,78.2,4.5,Morning,0
D164,Central,Fulltime,5,76.1,4.07,Flexible,1
D165,North,Parttime,10,82.2,3.89,Night,1
D166,West,Parttime,7,74.6,4.07,Night,1
D167,South,Parttime,12,75.3,4.64,Night,1
D168,North,Fulltime,12,93.6,3.84,Morning,1
D169,East,Contract,5,77.6,3.81,Flexible,1
D170,West,Fulltime,14,75.2,4.48,Morning,1
